kohde;jasen;pvknro;sp;ASALUE;IKAL1;V1;V5;V7;V21;V22;V27;V32;V33;V40;V68;V69;V70;V75;H1a_A;H1b_A;H1g_A;H1h_A;H1i_A
50967;1;2;1;3.0;5;470;20;0;0;0;0;410;70;0;0;0;0;0;2.0;1.0;1.0;1.0;1.0
50969;1;1;2;2.0;7;0;90;0;0;0;0;480;130;0;50;20;100;0;1.0;1.0;1.0;2.0;2.0
50970;2;2;2;3.0;5;390;40;10;10;0;0;460;40;0;40;0;60;0;2.0;1.0;2.0;1.0;2.0
50975;1;1;1;2.0;5;0;40;0;0;0;110;440;90;0;0;0;0;0;?;?;?;?;?
50977;1;2;2;1.0;9;0;20;30;0;0;40;710;40;0;60;0;250;0;1.0;2.0;1.0;1.0;2.0
50984;2;1;1;3.0;7;0;10;0;0;0;0;540;270;0;60;0;30;0;2.0;2.0;1.0;1.0;2.0
50995;1;2;2;1.0;4;600;0;0;0;0;0;560;50;0;20;0;20;20;1.0;1.0;1.0;1.0;2.0
50999;2;2;1;3.0;8;0;0;0;0;0;30;570;80;0;160;0;230;0;2.0;2.0;2.0;2.0;2.0
51000;1;1;2;3.0;5;0;10;20;190;20;0;510;30;0;0;0;0;0;2.0;2.0;2.0;1.0;2.0
51007;1;2;1;1.0;6;0;40;0;0;0;100;560;190;0;0;0;0;0;2.0;2.0;2.0;1.0;1.0
51013;1;1;2;1.0;6;0;70;10;0;0;50;550;110;0;20;0;160;0;2.0;2.0;2.0;2.0;2.0
51021;2;2;1;1.0;3;0;0;0;0;0;10;500;70;0;0;0;120;0;1.0;2.0;2.0;1.0;1.0
51022;1;2;2;1.0;4;450;10;0;0;0;50;460;80;0;0;0;120;0;1.0;2.0;2.0;1.0;2.0
51031;1;2;2;3.0;8;0;40;0;0;0;0;580;50;0;100;0;90;0;2.0;1.0;2.0;2.0;2.0
51040;2;2;2;2.0;6;30;40;?;0;0;0;470;70;0;60;0;40;40;2.0;2.0;2.0;1.0;2.0
51041;1;2;2;1.0;8;0;60;10;0;0;70;480;120;0;30;0;130;0;2.0;1.0;2.0;2.0;2.0
